Tour ID,Tour Title,Category,City,Area/State,Country,AVG Rating,Reviews,Activity URL,Save up to,From,To,Price from,Location
471206,NYC: Private Tour Historical Highlights of Midtown Manhattan,Walking Tours,New York City,New York (State),United States,,,https://www.getyourguide.com/activity/-t471206?partner_id=ABMB4KH,10%,2024-06-01,2024-08-16,€123.08,"Manhattan, Midtown"
426925,New York City: Dueling Pianos Show,Shows And Events,New York City,New York (State),United States,4.4,19,https://www.getyourguide.com/activity/-t426925?partner_id=ABMB4KH,20%,2024-06-01,2024-09-28,€26.34,"Manhattan, Midtown, Like a local"
467481,NYC: Private Tour Secrets of Central Park,Walking Tours,New York City,New York (State),United States,4.0,2,https://www.getyourguide.com/activity/-t467481?partner_id=ABMB4KH,10%,2024-05-31,2024-08-16,€123.08,"Manhattan, Central Park"
702210,"From NYC: Niagara Falls, Washington DC and Boston 4-Day Trip",Multi-day Trips,New York City,New York (State),United States,,,https://www.getyourguide.com/activity/-t702210?partner_id=ABMB4KH,22%,2024-05-28,2024-12-31,€473.78,"Outside NYC, Niagara Falls, Washington DC, Boston"
696109,New York Viewpoints Night Tour in Spanish,Day Trips,New York City,New York (State),United States,,,https://www.getyourguide.com/activity/-t696109?partner_id=ABMB4KH,5%,2024-05-21,2024-11-30,€46.93,"Manhattan, Queens, Brooklyn, Long Island City, Dumbo"
672655,Contrastes Nueva York,Bus Tours,New York City,New York (State),United States,5.0,5,https://www.getyourguide.com/activity/-t672655?partner_id=ABMB4KH,10%,2024-05-13,2024-09-28,€0.00,The Bronx
23534,NYC: English or German Central Park Bike Tour & eBike Option,Adventure Tours,New York City,New York (State),United States,4.1,19,https://www.getyourguide.com/activity/-t23534?partner_id=ABMB4KH,25%,2024-05-13,2024-12-30,€30.87,"Manhattan, Central Park"
681268,Washington DC from New York 1 Day,Day Trips,New York City,New York (State),United States,5.0,2,https://www.getyourguide.com/activity/-t681268?partner_id=ABMB4KH,5%,2024-05-12,2024-12-29,€108.63,"Outside NYC, Washington DC"
687035,NYC: Central Park Pedicab Ride,Transfers,New York City,New York (State),United States,,,https://www.getyourguide.com/activity/-t687035?partner_id=ABMB4KH,5%,2024-05-11,2026-08-29,€17.39,"Manhattan, Central Park"
668660,Niagara Falls Tour from New York City,Day Trips,New York City,New York (State),United States,4.0,1,https://www.getyourguide.com/activity/-t668660?partner_id=ABMB4KH,10%,2024-05-07,2024-12-30,€172.89,"Outside NYC, Niagara Falls"
287535,From NYC: Exclusive Spanish-Language Day Trip to Boston,Day Trips,New York City,New York (State),United States,4.5,133,https://www.getyourguide.com/activity/-t287535?partner_id=ABMB4KH,10%,2024-05-06,2024-10-31,€97.97,"Outside NYC, Boston "
69848,Washington DC Day Trip by Bus from New York City,Day Trips,New York City,New York (State),United States,4.6,470,https://www.getyourguide.com/activity/-t69848?partner_id=ABMB4KH,5%,2024-04-23,2024-12-31,€126.01,"Outside NYC, Washington DC"
639311,Niagara Falls (US): Guided 2-Day Trip with Accommodation,Multi-day Trips,New York City,New York (State),United States,4.2,39,https://www.getyourguide.com/activity/-t639311?partner_id=ABMB4KH,28%,2024-04-11,2024-12-31,€193.64,"Outside NYC, Niagara Falls"
512935,Official Central Park Pedicab Guided & Private Tours,Walking Tours,New York City,New York (State),United States,5.0,3,https://www.getyourguide.com/activity/-t512935?partner_id=ABMB4KH,20%,2024-04-11,2024-10-31,€43.91,"Manhattan, Central Park"
609381,From New York: 7-Day Guided East Coast Cities & Sites Tour,Multi-day Trips,New York City,New York (State),United States,5.0,1,https://www.getyourguide.com/activity/-t609381?partner_id=ABMB4KH,13%,2024-04-11,2024-12-31,€916.81,"Outside NYC, Philadelphia, Washington D.C., Niagara Falls, Boston"
535272,Official Central Park Pedicab Tours,Attraction Tours,New York City,New York (State),United States,4.7,6,https://www.getyourguide.com/activity/-t535272?partner_id=ABMB4KH,20%,2024-04-11,2024-10-31,€43.91,"Manhattan, Central Park"
412320,NYC: Penn Station and Grand Central Private Tour,Attraction Tours,New York City,New York (State),United States,5.0,4,https://www.getyourguide.com/activity/-t412320?partner_id=ABMB4KH,10%,2024-03-31,2027-06-06,€123.50,"Manhattan, Midtown, Penn Station, Grand Central"
582878,Private Yoga Class in Central Park,Workshops,New York City,New York (State),United States,5.0,1,https://www.getyourguide.com/activity/-t582878?partner_id=ABMB4KH,10%,2024-02-08,2024-10-31,€164.66,"Manhattan, Central Park, Like a loca"
47360,NYC: Intrepid Museum & Apollo Exhibit Entry Ticket,Entrance Tickets,New York City,New York (State),United States,4.6,2509,https://www.getyourguide.com/activity/-t47360?partner_id=ABMB4KH,10%,2024-01-31,2024-12-31,€29.64,"Manhattan, Midtown "
16783,OFFICIAL Central Park Pedicab Tours,Walking Tours,New York City,New York (State),United States,4.7,55,https://www.getyourguide.com/activity/-t16783?partner_id=ABMB4KH,26%,2024-01-11,2024-12-31,€40.66,"Manhattan, Central Park"
16768,NYC: Central Park Pedicab Highlights Tour,Attraction Tours,New York City,New York (State),United States,4.8,131,https://www.getyourguide.com/activity/-t16768?partner_id=ABMB4KH,26%,2024-01-11,2024-12-31,€40.66,"Manhattan, Central Park"
44048,"NYC Pedicab Tours: Central Park, Times Square, 5th Avenue",Bus Tours,New York City,New York (State),United States,4.9,10,https://www.getyourguide.com/activity/-t44048?partner_id=ABMB4KH,29%,2024-01-11,2024-08-31,€58.31,"Manhattan, Central Park"
134331,New York City: Statue of Liberty & Ellis Island Guided Tour,Boat Tours,New York City,New York (State),United States,4.2,682,https://www.getyourguide.com/activity/-t134331?partner_id=ABMB4KH,5%,2023-09-21,2024-12-31,€45.19,"Manhattan, Liberty Island, Ellis Island"
549119,Central Park Film Spots Pedicab Tour,Walking Tours,New York City,New York (State),United States,5.0,28,https://www.getyourguide.com/activity/-t549119?partner_id=ABMB4KH,20%,2023-01-31,2025-12-27,€43.91,"Manhattan, Central Park"
38226,NYC: 90-Day VIP Shop and Dine4Less Card City Hopper,City Cards,New York City,New York (State),United States,1.0,3,https://www.getyourguide.com/activity/-t38226?partner_id=ABMB4KH,30%,2022-08-01,2025-12-31,€25.61,Manhattan
